CH04,CH06,CH10,CH12,ESTADO,CAT_OCUP,CAT_INAC,PP3E_TOT,PP3F_TOT,PP03G,PONDERA,NIVEL_ED,IPCF,ITF,REGION,ano4
2.0,74.0,2.0,2.0,3.0,0.0,1.0,,,,885.0,1.0,208000.0,208000.0,43.0,2024
2.0,43.0,2.0,7.0,1.0,2.0,0.0,40.0,0.0,2.0,1441.0,6.0,0.0,0.0,43.0,2024
1.0,45.0,2.0,7.0,1.0,3.0,0.0,40.0,0.0,2.0,1441.0,6.0,0.0,0.0,43.0,2024
2.0,14.0,1.0,4.0,3.0,0.0,3.0,,,,1441.0,3.0,0.0,0.0,43.0,2024
2.0,12.0,1.0,4.0,3.0,0.0,3.0,,,,1441.0,3.0,0.0,0.0,43.0,2024
1.0,7.0,1.0,2.0,4.0,0.0,3.0,,,,1441.0,1.0,0.0,0.0,43.0,2024
1.0,67.0,2.0,2.0,3.0,0.0,1.0,,,,472.0,1.0,133750.0,535000.0,43.0,2024
2.0,64.0,2.0,2.0,3.0,0.0,4.0,,,,472.0,2.0,133750.0,535000.0,43.0,2024
1.0,28.0,2.0,4.0,1.0,2.0,0.0,40.0,0.0,2.0,472.0,3.0,133750.0,535000.0,43.0,2024
2.0,26.0,2.0,4.0,2.0,3.0,0.0,,,,472.0,4.0,133750.0,535000.0,43.0,2024
2.0,56.0,2.0,7.0,3.0,0.0,4.0,,,,640.0,5.0,15000.0,30000.0,43.0,2024
1.0,57.0,2.0,4.0,1.0,2.0,0.0,4.0,0.0,1.0,640.0,3.0,15000.0,30000.0,43.0,2024
2.0,41.0,2.0,4.0,1.0,3.0,0.0,54.0,0.0,2.0,542.0,3.0,0.0,0.0,43.0,2024
1.0,22.0,2.0,4.0,1.0,3.0,0.0,20.0,0.0,2.0,542.0,4.0,0.0,0.0,43.0,2024
2.0,17.0,1.0,4.0,3.0,0.0,3.0,,,,542.0,3.0,0.0,0.0,43.0,2024
2.0,14.0,1.0,4.0,3.0,0.0,3.0,,,,542.0,3.0,0.0,0.0,43.0,2024
2.0,15.0,1.0,4.0,3.0,0.0,3.0,,,,542.0,3.0,0.0,0.0,43.0,2024
2.0,4.0,1.0,1.0,4.0,0.0,5.0,,,,542.0,7.0,0.0,0.0,43.0,2024
1.0,17.0,1.0,4.0,1.0,2.0,0.0,40.0,0.0,2.0,542.0,3.0,0.0,0.0,43.0,2024
1.0,60.0,2.0,7.0,1.0,2.0,0.0,48.0,0.0,2.0,880.0,6.0,0.0,0.0,43.0,2024
2.0,52.0,2.0,7.0,1.0,3.0,0.0,36.0,0.0,2.0,880.0,6.0,0.0,0.0,43.0,2024
2.0,25.0,2.0,7.0,1.0,3.0,0.0,40.0,0.0,2.0,880.0,6.0,0.0,0.0,43.0,2024
1.0,17.0,2.0,2.0,3.0,0.0,7.0,,,,880.0,1.0,0.0,0.0,43.0,2024
1.0,65.0,2.0,4.0,1.0,3.0,0.0,24.0,0.0,1.0,673.0,4.0,0.0,0.0,43.0,2024
1.0,15.0,1.0,4.0,3.0,0.0,3.0,,,,673.0,3.0,0.0,0.0,43.0,2024
1.0,14.0,1.0,4.0,3.0,0.0,3.0,,,,673.0,3.0,0.0,0.0,43.0,2024
1.0,10.0,1.0,2.0,3.0,0.0,3.0,,,,673.0,1.0,0.0,0.0,43.0,2024
1.0,49.0,2.0,4.0,1.0,3.0,0.0,38.0,0.0,2.0,361.0,4.0,0.0,0.0,43.0,2024
2.0,33.0,2.0,4.0,1.0,3.0,0.0,84.0,0.0,2.0,361.0,4.0,0.0,0.0,43.0,2024
2.0,54.0,2.0,6.0,1.0,2.0,0.0,28.0,0.0,2.0,346.0,6.0,243333.33,730000.0,43.0,2024
2.0,20.0,1.0,7.0,1.0,3.0,0.0,54.0,0.0,2.0,346.0,5.0,243333.33,730000.0,43.0,2024
2.0,18.0,1.0,7.0,1.0,3.0,0.0,30.0,0.0,2.0,346.0,5.0,243333.33,730000.0,43.0,2024
2.0,45.0,2.0,7.0,1.0,3.0,0.0,30.0,0.0,1.0,297.0,6.0,360000.0,1080000.0,43.0,2024
2.0,18.0,1.0,6.0,1.0,3.0,0.0,8.0,0.0,2.0,297.0,5.0,360000.0,1080000.0,43.0,2024
2.0,16.0,1.0,4.0,3.0,0.0,3.0,,,,297.0,3.0,360000.0,1080000.0,43.0,2024
2.0,49.0,2.0,6.0,1.0,3.0,0.0,20.0,0.0,2.0,466.0,6.0,275000.0,550000.0,43.0,2024
2.0,83.0,2.0,4.0,3.0,0.0,1.0,,,,466.0,4.0,275000.0,550000.0,43.0,2024
1.0,76.0,2.0,4.0,1.0,2.0,0.0,15.0,0.0,2.0,735.0,4.0,240000.0,240000.0,43.0,2024
2.0,74.0,2.0,6.0,3.0,0.0,1.0,,,,1413.0,6.0,300000.0,300000.0,43.0,2024
2.0,77.0,2.0,4.0,3.0,0.0,1.0,,,,903.0,4.0,250000.0,500000.0,43.0,2024
1.0,79.0,2.0,4.0,3.0,0.0,1.0,,,,903.0,4.0,250000.0,500000.0,43.0,2024
1.0,29.0,2.0,7.0,1.0,3.0,0.0,40.0,12.0,2.0,834.0,6.0,0.0,0.0,43.0,2024
2.0,29.0,2.0,7.0,1.0,2.0,0.0,40.0,0.0,2.0,834.0,6.0,0.0,0.0,43.0,2024
1.0,57.0,2.0,4.0,1.0,2.0,0.0,70.0,0.0,2.0,477.0,3.0,0.0,0.0,43.0,2024
2.0,53.0,2.0,4.0,3.0,0.0,4.0,,,,477.0,3.0,0.0,0.0,43.0,2024
1.0,18.0,2.0,4.0,3.0,0.0,7.0,,,,477.0,4.0,0.0,0.0,43.0,2024
1.0,40.0,2.0,4.0,1.0,2.0,0.0,40.0,0.0,2.0,573.0,4.0,275000.0,550000.0,43.0,2024
2.0,30.0,2.0,6.0,1.0,2.0,0.0,30.0,0.0,1.0,573.0,6.0,275000.0,550000.0,43.0,2024
1.0,63.0,2.0,6.0,1.0,3.0,0.0,51.0,0.0,2.0,580.0,6.0,0.0,0.0,43.0,2024
2.0,50.0,2.0,4.0,1.0,3.0,0.0,56.0,0.0,2.0,580.0,3.0,0.0,0.0,43.0,2024
1.0,18.0,1.0,4.0,1.0,3.0,0.0,48.0,0.0,2.0,580.0,3.0,0.0,0.0,43.0,2024
1.0,50.0,2.0,4.0,1.0,1.0,0.0,84.0,0.0,2.0,486.0,3.0,333333.33,1000000.0,43.0,2024
2.0,51.0,2.0,6.0,1.0,1.0,0.0,15.0,0.0,2.0,486.0,6.0,333333.33,1000000.0,43.0,2024
1.0,15.0,1.0,4.0,3.0,0.0,3.0,,,,486.0,3.0,333333.33,1000000.0,43.0,2024
2.0,25.0,2.0,4.0,3.0,0.0,4.0,,,,537.0,3.0,0.0,0.0,43.0,2024
2.0,31.0,2.0,2.0,1.0,3.0,0.0,9.0,0.0,1.0,537.0,2.0,0.0,0.0,43.0,2024
2.0,4.0,3.0,0.0,4.0,0.0,5.0,,,,537.0,7.0,0.0,0.0,43.0,2024
1.0,7.0,1.0,2.0,4.0,0.0,3.0,,,,537.0,1.0,0.0,0.0,43.0,2024
2.0,10.0,1.0,2.0,3.0,0.0,3.0,,,,537.0,1.0,0.0,0.0,43.0,2024
2.0,32.0,2.0,4.0,1.0,3.0,0.0,25.0,0.0,2.0,537.0,4.0,0.0,0.0,43.0,2024
1.0,61.0,2.0,2.0,1.0,2.0,0.0,49.0,0.0,2.0,476.0,2.0,133333.33,400000.0,43.0,2024
2.0,58.0,2.0,4.0,3.0,0.0,4.0,,,,476.0,4.0,133333.33,400000.0,43.0,2024
1.0,20.0,2.0,4.0,3.0,0.0,7.0,,,,476.0,4.0,133333.33,400000.0,43.0,2024
2.0,36.0,2.0,4.0,1.0,3.0,0.0,60.0,0.0,2.0,1095.0,4.0,270000.0,540000.0,43.0,2024
2.0,10.0,1.0,2.0,3.0,0.0,3.0,,,,1095.0,1.0,270000.0,540000.0,43.0,2024
1.0,39.0,2.0,2.0,1.0,3.0,0.0,44.0,0.0,2.0,682.0,2.0,157333.33,472000.0,43.0,2024
2.0,28.0,1.0,7.0,3.0,0.0,3.0,,,,682.0,5.0,157333.33,472000.0,43.0,2024
2.0,-1.0,0.0,0.0,4.0,0.0,5.0,,,,682.0,7.0,157333.33,472000.0,43.0,2024
1.0,47.0,2.0,2.0,1.0,3.0,0.0,60.0,0.0,2.0,604.0,2.0,400000.0,400000.0,43.0,2024
2.0,33.0,2.0,4.0,3.0,0.0,4.0,,,,935.0,3.0,250000.0,1000000.0,43.0,2024
2.0,7.0,1.0,2.0,4.0,0.0,3.0,,,,935.0,1.0,250000.0,1000000.0,43.0,2024
1.0,8.0,1.0,2.0,4.0,0.0,3.0,,,,935.0,1.0,250000.0,1000000.0,43.0,2024
2.0,34.0,2.0,7.0,1.0,2.0,0.0,30.0,0.0,2.0,574.0,5.0,0.0,0.0,43.0,2024
1.0,42.0,2.0,7.0,1.0,2.0,0.0,20.0,0.0,1.0,574.0,5.0,0.0,0.0,43.0,2024
1.0,9.0,1.0,2.0,4.0,0.0,3.0,,,,574.0,1.0,0.0,0.0,43.0,2024
2.0,5.0,1.0,2.0,4.0,0.0,5.0,,,,574.0,1.0,0.0,0.0,43.0,2024
