codusu,nro_hogar,componente,h15,ano4,trimestre,region,mas_500,aglomerado,pondera,ch03,ch04,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch15_cod,ch16,ch16_cod,nivel_ed,estado,cat_ocup,cat_inac,pp02c1,pp02c2,pp02c3,pp02c4,pp02c5,pp02c6,pp02c7,pp02c8,pp02e,pp02h,pp02i,pp03c,pp03d,pp3e_tot,pp3f_tot,pp03g,pp03h,pp03i,pp03j,intensi,pp04a,pp04b_cod,pp04b1,pp04b2,pp04b3_mes,pp04b3_ano,pp04b3_dia,pp04c,pp04c99,pp04d_cod,pp04g,pp05b2_mes,pp05b2_ano,pp05b2_dia,pp05c_1,pp05c_2,pp05c_3,pp05e,pp05f,pp05h,pp06a,pp06c,pp06d,pp06e,pp06h,pp07a,pp07c,pp07d,pp07e,pp07f1,pp07f2,pp07f3,pp07f4,pp07f5,pp07g1,pp07g2,pp07g3,pp07g4,pp07g_59,pp07h,pp07i,pp07j,pp07k,pp08d1,pp08d4,pp08f1,pp08f2,pp08j1,pp08j2,pp08j3,pp09a,pp09a_esp,pp09b,pp09c,pp09c_esp,pp10a,pp10c,pp10d,pp10e,pp11a,pp11b_cod,pp11b1,pp11b2_mes,pp11b2_ano,pp11b2_dia,pp11c,pp11c99,pp11d_cod,pp11g_ano,pp11g_mes,pp11g_dia,pp11l,pp11l1,pp11m,pp11n,pp11o,pp11p,pp11q,pp11r,pp11s,pp11t,p21,decocur,idecocur,rdecocur,gdecocur,pdecocur,adecocur,tot_p12,p47t,decindr,idecindr,rdecindr,gdecindr,pdecindr,adecindr,v2_m,v3_m,v4_m,v5_m,v8_m,v9_m,v10_m,v11_m,v12_m,v18_m,v19_am,v21_m,t_vi,itf,decifr,idecifr,rdecifr,gdecifr,pdecifr,adecifr,ipcf,deccfr,ideccfr,rdeccfr,gdeccfr,pdeccfr,adeccfr,pj1_1,pj2_1,pj3_1,idimpp,ch05,imputa,pondiio,pondii,pondih
TQRMNOQPPHLOLSCDEIKAH00855762,1.0,1,1,2024,1,43,S,34,885.0,1,2,74,4,1,1,2,0,2,2,4.0,1,,1,,1,3,0,1,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0,0.0,,0,0.0,208000.0,5,5.0,5,5.0,,4,208000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208000.0,208000.0,2,2.0,2,2.0,,1,208000.0,6,6.0,6,6.0,,6,,,,,1949-12-24 00:00:00,,885.0,726.0,784.0
TQRMNOQWVHMKLRCDEIKAH00808003,1.0,1,1,2024,1,43,S,34,1441.0,1,2,43,2,1,1,2,0,7,1,,2,,3,2.0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,9609.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,58133.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,7.0,6.0,2.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,12,12.0,12,12.0,,12,0.0,-9.0,12,12.0,12,12.0,,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,,,,,1980-10-24 00:00:00,,0.0,0.0,0.0
TQRMNOQWVHMKLRCDEIKAH00808003,1.0,2,1,2024,1,43,S,34,1441.0,2,1,45,2,1,1,2,0,7,1,,2,,3,2.0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,9999.0,2.0,0.0,0.0,0.0,0.0,99.0,9.0,6001.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,12,12.0,12,12.0,,12,0.0,-9.0,12,12.0,12,12.0,,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,,,,,1978-05-17 00:00:00,,0.0,0.0,0.0
TQRMNOQWVHMKLRCDEIKAH00808003,1.0,3,1,2024,1,43,S,34,1441.0,3,2,14,5,1,1,1,2,4,2,2.0,3,2.0,3,2.0,3,3,0,3,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,,,,,2009-11-29 00:00:00,,1441.0,1441.0,0.0
TQRMNOQWVHMKLRCDEIKAH00808003,1.0,4,1,2024,1,43,S,34,1441.0,3,2,12,5,1,1,1,2,4,2,1.0,3,2.0,3,2.0,3,3,0,3,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,,,,,2011-05-17 00:00:00,,1441.0,1441.0,0.0
TQRMNOQWVHMKLRCDEIKAH00808003,1.0,5,0,2024,1,43,S,34,1441.0,3,1,7,5,1,1,1,2,2,2,1.0,3,2.0,3,2.0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12.0,12,12.0,,12,0.0,12,12.0,12,12.0,,12,,,,,2016-09-14 00:00:00,,1441.0,1441.0,0.0
TQRMNORWYHKOKRCDEIKAH00856937,1.0,1,1,2024,1,43,S,34,472.0,1,1,67,2,1,1,2,0,2,2,3.0,2,,1,,1,3,0,1,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0,0.0,,0,0.0,135000.0,3,3.0,3,2.0,,2,135000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135000.0,535000.0,6,6.0,6,6.0,,6,133750.0,4,4.0,3,4.0,,3,,,,,1957-03-09 00:00:00,,472.0,438.0,1130.0
TQRMNORWYHKOKRCDEIKAH00856937,1.0,2,1,2024,1,43,S,34,472.0,2,2,64,2,1,1,2,0,2,1,,3,18.0,1,,2,3,0,4,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0,0.0,,0,0.0,150000.0,3,3.0,3,3.0,,3,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,535000.0,6,6.0,6,6.0,,6,133750.0,4,4.0,3,4.0,,3,,,,,1960-01-31 00:00:00,,472.0,551.0,1130.0
TQRMNORWYHKOKRCDEIKAH00856937,1.0,3,1,2024,1,43,S,34,472.0,3,1,28,1,4,1,2,0,4,2,5.0,1,,1,,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,40.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,4502.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,82113.0,10.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,7.0,5.0,2.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000.0,5,6.0,5,5.0,,4,0.0,250000.0,5,6.0,5,5.0,,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535000.0,6,6.0,6,6.0,,6,133750.0,4,4.0,3,4.0,,3,,,,,1995-06-16 00:00:00,,730.0,725.0,1130.0
TQRMNORWYHKOKRCDEIKAH00856937,1.0,4,1,2024,1,43,S,34,472.0,4,2,26,1,4,1,2,0,4,1,,1,,1,,4,2,3,0,2,1,2,2,2,1,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,5500.0,2.0,0.0,0.0,0.0,8.0,0.0,56314.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0,0.0,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535000.0,6,6.0,6,6.0,,6,133750.0,4,4.0,3,4.0,,3,,,,,1998-02-08 00:00:00,,472.0,472.0,1130.0
